amfi_code,scheme_name,benchmark,n_obs,cagr,benchmark_cagr,sharpe,sortino,alpha_annualized,beta,r_squared,beta_pvalue,max_drawdown,tracking_error,information_ratio,score_cagr,score_sharpe,score_sortino,score_alpha,score_max_dd,score_te,peer_score
118634,Nippon India Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,1149,0.16373474033415758,0.2788632953140542,0.44843400890899143,0.4509100447038578,0.1131809207549839,5.4048028870193543e-05,2.2476595029630175e-09,0.9987191678957039,-0.23344886144833177,0.3357549163870746,-0.24939551659187753,50.0,37.5,37.5,60.0,22.5,7.5,39.25
118635,Nippon India ETF Nifty 50 BeES,NIFTY 50 TRI,1149,0.15957231179671738,0.02355994075285861,0.664856998549062,0.683000232081455,0.08627036759205672,-0.0014335213897801022,2.0253408972159548e-06,0.9615666405413452,-0.11650624505409068,0.18307639338664936,0.6584781117593153,45.0,55.00000000000001,55.00000000000001,45.0,77.5,82.5,57.125
118636,Nippon India Gilt Securities Fund - Regular - Growth,CRISIL Dynamic Gilt Index,1149,0.05316889625171273,0.11067422152118489,-0.35662950751436784,-0.354973120652653,-0.013852622362128584,-0.009714078122207084,0.00010136093113877198,0.7331751116472007,-0.08316361763638586,0.0576874810250988,-0.8905638718165966,15.0,7.5,7.5,12.5,87.5,85.0,29.75
120841,Kotak Bluechip Fund - Regular - Growth,NIFTY 100 TRI,1149,0.1353221114899239,0.02355994075285861,0.4942725378672354,0.500685328989129,0.06779241044349753,0.036356399022199816,0.0012113711061210175,0.23845930871566356,-0.17573614164687393,0.18311878418576322,0.5503542580966179,42.5,42.5,45.0,42.5,42.5,80.0,46.625
120842,Kotak Emerging Equity Fund - Regular - Growth,NIFTY Midcap 150 TRI,1149,0.06701543482038463,0.3180370545276039,0.07599984804658912,0.07460298229193629,0.02122770643852209,-0.03507636077772988,0.0012208253350539655,0.23663459746844928,-0.24003511326274685,0.25695385584050934,-0.7933771635014528,25.0,27.500000000000004,27.500000000000004,32.5,20.0,22.5,26.375
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY 500 TRI,1149,0.3090745475400549,0.2359452964884461,1.3067439695428407,1.3818780556928127,0.21132142410062038,-0.02494529798725821,0.0004739697504457796,0.46097130657449703,-0.1297396816518681,0.21312745758887755,0.27452389110324776,87.5,97.5,97.5,90.0,70.0,35.0,83.625
120844,Kotak Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,1149,0.06915272985067156,0.06788924321003287,-0.08874729621557495,-0.08845567875293868,-0.00041754738965585315,0.023804441389967148,0.0005754909557839083,0.4165633378157986,-0.0011629327956168582,0.007199714038197907,0.15849317439903698,27.500000000000004,17.5,17.5,22.5,97.5,95.0,40.25
119092,Axis Bluechip Fund - Regular - Growth,NIFTY 100 TRI,1149,0.06367989237605243,0.02355994075285861,0.030784850954585913,0.031059106265726607,0.004627796641850433,0.00973074500115364,8.082637693818118e-05,0.7608083592013818,-0.14401617909337255,0.18908165842556626,0.20375877828743194,20.0,25.0,25.0,27.500000000000004,65.0,72.5,35.25
119093,Axis Bluechip Fund - Direct - Growth,NIFTY 100 TRI,1149,0.07897557854375958,0.02355994075285861,0.1296144979566933,0.12907454229018087,0.019010421760827022,0.025883212440093166,0.0005692038090243656,0.41912120462855745,-0.21751396370148143,0.1878998377218692,0.2786417297246693,32.5,30.0,30.0,30.0,25.0,75.0,34.25
119094,Axis Midcap Fund - Regular - Growth,NIFTY Midcap 50 TRI,1149,0.2821441719365203,0.3180370545276039,0.9982309868636414,1.0492534432749374,0.20186887965417266,-0.03743664145919366,0.0011823491458921032,0.24416836841295278,-0.20960883862039206,0.26798659303206007,-0.08856195925924608,80.0,75.0,77.5,82.5,32.5,15.0,65.5
119095,Axis Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,1149,0.015215045330823962,0.2788632953140542,-0.07597357117478937,-0.07652693032350064,-0.010068051574023235,-0.04557988150841548,0.0016209069562632683,0.17263889720770262,-0.516777537085266,0.34106526526113673,-0.6332257584736348,5.0,20.0,20.0,15.0,5.0,5.0,12.25
101206,ABSL Frontline Equity Fund - Regular - Growth,NIFTY 100 TRI,1149,0.2353836133468803,0.02355994075285861,1.0272133278753697,1.0693521104312864,0.15036845831677062,0.021086316250128054,0.0003480482030713272,0.5275509209180671,-0.11291596329323098,0.1927064051369653,0.954192369931463,72.5,80.0,80.0,72.5,80.0,55.0,74.5
101207,ABSL Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,1149,0.07938764837247714,0.2788632953140542,0.16266076928646758,0.16551598483608473,0.051533556129969724,-0.04860388402159111,0.0017401816088943312,0.15762581651212354,-0.35446916493366043,0.3468988999421293,-0.4467157790414978,35.0,32.5,32.5,37.5,7.5,0.0,27.0
101208,ABSL Liquid Fund - Regular - Growth,CRISIL Liquid Fund AI Index,1149,0.06509026855465327,0.06788924321003287,-0.8155673679088286,-0.789665102806148,-0.004178518224101089,-0.030176865491843768,0.0009501475621762623,0.29650174994482015,-0.0016224980244715441,0.0073500633661998365,-0.34471478043594744,22.5,2.5,2.5,20.0,95.0,92.5,32.875
102885,UTI Nifty 50 Index Fund - Regular - Growth,NIFTY 50 TRI,1149,0.18232378887705947,0.02355994075285861,0.8170993373494371,0.8420066642766452,0.1042209269643111,-0.019486785689474602,0.0003828503073094458,0.5075948866942003,-0.10859862152502295,0.18368034296960942,0.7574047431752514,57.49999999999999,62.5,62.5,55.00000000000001,85.0,77.5,64.875
102886,UTI Mid Cap Fund - Regular - Growth,NIFTY Midcap 150 TRI,1149,0.011717454918341197,0.3180370545276039,-0.20583160785470306,-0.2015035670866587,-0.026651524970676705,-0.04908995809234827,0.002328330062237094,0.10209275438637905,-0.2800112356639297,0.2603459770567488,-0.978651448206268,2.5,12.5,15.0,5.0,15.0,20.0,10.5
102887,UTI Flexi Cap Fund - Regular - Growth,NIFTY 500 TRI,1149,0.16841120247307528,0.2359452964884461,0.6195175900829829,0.6470879836587708,0.09986034032800414,-0.014987125347858747,0.000173888375206932,0.6552214526576066,-0.21539827112383236,0.21126620416586508,-0.24361589028413994,52.5,47.5,47.5,52.5,27.500000000000004,37.5,45.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY 100 TRI,1149,0.3097410750185903,0.02355994075285861,1.4482911703262602,1.4622790431562798,0.20637694569411102,0.02368355807584868,0.0004625436906624536,0.4664265197542735,-0.11265729075028226,0.1896636779215802,1.264335700505757,90.0,100.0,100.0,87.5,82.5,70.0,89.875
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,NIFTY Large Midcap 250 TRI,1149,0.2251686900711385,0.02355994075285861,0.9262873467360148,0.9536338500716429,0.14201489907307369,-0.026387719943842987,0.00048592647527956334,0.45537031787419874,-0.15272594228234768,0.20321345225145676,0.8717462765737434,67.5,65.0,65.0,67.5,55.00000000000001,40.0,62.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,NIFTY 500 TRI,1149,0.3194952310833252,0.2359452964884461,1.2349300257743299,1.3020660078828874,0.2125669547380823,0.03819519001921841,0.0008978496273842618,0.31019457691548163,-0.16396742946932696,0.22134370293960617,0.3124911849268661,92.5,95.0,95.0,92.5,50.0,32.5,81.0
149322,DSP Top 100 Equity Fund - Regular - Growth,NIFTY 100 TRI,1149,0.13393275924001857,0.02355994075285861,0.4640374492204776,0.46772352395948436,0.06646863463754384,-0.004050271130006516,1.3227607880805792e-05,0.9019895024405028,-0.14844576917771757,0.19326406331048715,0.5217713042740223,40.0,40.0,40.0,40.0,62.5,50.0,44.375
149323,DSP Midcap Fund - Regular - Growth,NIFTY Midcap 150 TRI,1149,0.29581086910433996,0.3180370545276039,1.1321218524747247,1.1353497609405774,0.2033816558147065,-0.011374472404232682,0.0001305352531039139,0.6988523995815423,-0.17248105753451418,0.2529616646158486,-0.0654373026100107,82.5,87.5,87.5,85.0,47.5,27.5,74.0
149324,DSP Small Cap Fund - Regular - Growth,BSE 250 SmallCap TRI,1149,0.3228744045157361,0.2788632953140542,0.9497958246616032,0.9873163613092448,0.23030895504704751,0.02854999752567129,0.0006475952841561439,0.3887945978162752,-0.3117190030063417,0.3285233289815249,0.11872488626057678,95.0,70.0,72.5,97.5,10.0,12.5,66.125
